workload,size,lang,ok,alloc_objects_per_op,alloc_bytes_per_op,peak_live_bytes,live_bytes_end
mem.bytes,500MiB,rust,True,1.0,524288000.0,524322374.0,34374.0
mem.churn,100MiB,rust,True,1638400.0,104857600.0,118001318.0,117999206.0
mem.churn,1GiB,rust,True,16777216.0,1073741824.0,1207996072.0,1207993960.0
mem.churn,500MiB,rust,True,8192000.0,524288000.0,589860518.0,589858406.0
mem.churn.go-nogreentea,500MiB,rust,True,8192000.0,524288000.0,589860518.0,589858406.0
mem.churn.gogc200,500MiB,rust,True,8192000.0,524288000.0,589860518.0,589858406.0
mem.churn.gogc50,500MiB,rust,True,8192000.0,524288000.0,589860518.0,589858406.0
mem.churn.gogcoff-limit1g,500MiB,rust,True,8192000.0,524288000.0,589860518.0,589858406.0
mem.churn.mimalloc,500MiB,rust,False,0.0,0.0,,
mem.objects-boxed,100MiB,rust,True,1638401.0,117964800.0,117999182.0,34382.0
mem.objects-boxed,1GiB,rust,True,16777217.0,1207959552.0,1207993936.0,34384.0
mem.objects-boxed,500MiB,rust,True,8192001.0,589824000.0,589858382.0,34382.0
mem.objects-boxed.go-nogreentea,500MiB,rust,True,8192001.0,589824000.0,589858382.0,34382.0
mem.objects-boxed.gogc200,500MiB,rust,True,8192001.0,589824000.0,589858382.0,34382.0
mem.objects-boxed.mimalloc,500MiB,rust,False,0.0,0.0,,
mem.objects-inline,100MiB,rust,True,1.0,104857600.0,104891983.0,34383.0
mem.objects-inline,1GiB,rust,True,1.0,1073741824.0,1073776209.0,34385.0
mem.objects-inline,500MiB,rust,True,1.0,524288000.0,524322383.0,34383.0
str.concat,100MiB,rust,True,24.0,268435440.0,641763011.0,507545283.0
str.concat,10MiB,rust,True,21.0,33554416.0,77629601.0,60852385.0
str.format,1M,rust,True,24.0,192937969.0,192972378.0,96503386.0
str.parse-numbers,100MiB,rust,True,0.0,0.0,121672405.0,121669546.0
str.parse-numbers,10MiB,rust,True,0.0,0.0,12100051.0,12097192.0
str.regex,100MiB,rust,True,0.0,0.0,104959745.0,104956886.0
str.regex,10MiB,rust,True,0.0,0.0,10588863.0,10586004.0
str.search,100MiB,rust,True,0.0,0.0,104894934.0,104892075.0
str.search,10MiB,rust,True,0.0,0.0,10523316.0,10520457.0
str.split,100MiB,rust,True,2751604.0,592340992.0,138450610.0,104892082.0
str.split,10MiB,rust,True,275709.0,56753472.0,12621584.0,10520336.0
str.split-lazy,100MiB,rust,True,0.0,0.0,104894946.0,104892087.0
str.split-lazy,10MiB,rust,True,0.0,0.0,10523328.0,10520469.0
str.unicode-count,100MiB,rust,True,0.0,0.0,104895421.0,104892562.0
str.unicode-count,10MiB,rust,True,0.0,0.0,10531259.0,10528400.0
str.upper,100MiB,rust,True,1.0,104857579.0,314607256.0,209749677.0
str.upper,10MiB,rust,True,1.0,10485739.0,31491830.0,21006091.0
