run_id,workload,tier,test,level,connections,rate_frac,target_rps,lang,impl,round,ok,flags,error,rps,requests,error_count,error_rate,lat_mean_us,lat_max_us,server_cpu_util,requests_per_cpu_second,server_rss_avg_kb,server_rss_peak_kb,server_hwm_kb,server_threads_max,loadgen_cpu_util,steal_server,server_ready_ms,lat_p50_us,lat_p75_us,lat_p90_us,lat_p95_us,lat_p99_us,lat_p99.9_us,lat_p99.99_us
20260925T083500Z-native-vm,http.users,primary,throughput,c10,10,,,rust,http-axum,3,True,,,67227.99930235316,2017090,0,0.0,155.158,17532,1.9287409141846628,34855.89941496754,3896.0,3896,4016,3,1.0266601696188933,0.009751176866173503,7.933177,137,177,221,254,448,2993,14112
20260925T083500Z-native-vm,http.users,primary,throughput,c10,10,,,rust,http-axum,4,True,,,68663.32420113837,2066748,0,0.0,146.853,13971,1.930752375792521,35562.988326223836,3724.0,3724,4032,3,1.0246574513757225,0.006724949562878279,8.21489,135,174,216,245,365,2468,6281
20260925T083500Z-native-vm,http.users,primary,throughput,c100,100,,,go,http,0,True,,,52095.27014607485,1563630,0,0.0,2036.236,51849,1.9418489967336772,26827.662827389082,13307.428189796723,13648,13664,7,0.8443278474538658,0.008558482966940761,7.74399,1869,2890,3994,4682,6393,10133,22078
20260925T083500Z-native-vm,http.users,primary,throughput,c100,100,,,go,http,1,True,,,51334.09922087163,1540830,0,0.0,2066.392,21605,1.9391726479137739,26472.16547536319,13253.441018852276,13476,13516,6,0.8423286865148236,0.008561356387443344,8.094341,1895,2934,4057,4765,6570,10142,15859
20260925T083500Z-native-vm,http.users,primary,throughput,c100,100,,,go,http,2,True,,,50054.46407209951,1504049,0,0.0,2198.452,78017,1.9331046954107776,25893.302204960568,13317.615055498856,13516,13580,6,0.8336588124613197,0.011392192997151952,7.761497,1939,3013,4185,4943,7113,38737,68131
20260925T083500Z-native-vm,http.users,primary,throughput,c100,100,,,go,http,3,True,,,51726.236624787154,1552328,0,0.0,2043.729,24673,1.944546232298676,26600.672056863794,13098.791971298115,13648,13712,6,0.8429949146612772,0.007035175879396985,7.978899,1884,2907,4008,4691,6309,9835,17502
20260925T083500Z-native-vm,http.users,primary,throughput,c100,100,,,go,http,4,True,,,51052.98576213066,1532163,0,0.0,2074.826,15475,1.9415139544431608,26295.45136427979,13284.802990159511,13620,13704,6,0.8503231813248716,0.006863073317710077,7.72303,1906,2953,4086,4789,6503,9742,12528
20260925T083500Z-native-vm,http.users,primary,throughput,c100,100,,,rust,http-axum,0,True,,,79311.37433236884,2381814,0,0.0,1254.852,10955,1.9673934611770219,40312.91955444421,6836.0,6836,7036,3,1.1403249961132,0.008502834278092697,9.025169,1226,1502,1758,1923,2444,4489,7801
20260925T083500Z-native-vm,http.users,primary,throughput,c100,100,,,rust,http-axum,1,True,,,75931.56227815252,2281866,0,0.0,1317.336,18943,1.9529413248284837,38880.61628519288,7069.545769534569,7076,7188,3,1.1019933376788784,0.008504252126063032,8.305874,1273,1566,1857,2083,2666,6258,11940
20260925T083500Z-native-vm,http.users,primary,throughput,c100,100,,,rust,http-axum,2,True,,,78707.91349860397,2362495,0,0.0,1264.768,12240,1.9667278242515607,40019.72846881155,6556.0,6556,6772,3,1.1416445306739296,0.007839866555462885,8.274517,1238,1515,1771,1931,2411,4262,7308
20260925T083500Z-native-vm,http.users,primary,throughput,c100,100,,,rust,http-axum,3,True,,,67692.76677237652,2033945,0,0.0,1470.608,11055,1.9324477170556673,35029.54629764326,6823.394051736945,6896,7048,3,1.0263227461984126,0.008574310692669805,8.131559,1437,1772,2099,2279,2715,4556,7661
20260925T083500Z-native-vm,http.users,primary,throughput,c100,100,,,rust,http-axum,4,True,,,78167.59695255013,2346744,0,0.0,1274.12,11940,1.9667179242634922,39745.199852095095,6712.0,6712,6912,3,1.1299898988696286,0.007852965747702589,8.159202,1246,1528,1782,1940,2411,4507,8595
20260925T083500Z-native-vm,http.users,primary,throughput,c1000,1000,,,go,http,0,True,,,42422.49633739709,1273392,0,0.0,23465.8,64528,1.8463850420135717,22975.974876363445,40208.40275746124,40224,40412,5,0.8253268345172622,0.009200886011245527,8.187604,23081,26743,30443,33078,40644,50474,56281
20260925T083500Z-native-vm,http.users,primary,throughput,c1000,1000,,,go,http,1,True,,,42181.93045607492,1268378,0,0.0,23634.011,57113,1.862524774397152,22647.715099375284,40606.386520675995,40608,40816,5,0.8456605237604334,0.00965774313791935,8.193424,23265,26888,30561,33124,40989,51013,55200
20260925T083500Z-native-vm,http.users,primary,throughput,c1000,1000,,,go,http,2,True,,,40909.031681195265,1227572,0,0.0,24354.436,76619,1.8194947441744063,22483.731712980407,40218.62237334214,40352,40488,5,0.8106556170252788,0.009703779366700716,7.982966,23834,27906,32118,35240,45596,55398,63285
20260925T083500Z-native-vm,http.users,primary,throughput,c1000,1000,,,go,http,3,True,,,41849.409079664525,1258626,0,0.0,23799.209,72664,1.8369730112938625,22781.72233471634,39965.848650709566,39968,40220,5,0.8283265827754035,0.007983692882622727,8.131719,23286,27149,31235,34540,43561,53329,65981
20260925T083500Z-native-vm,http.users,primary,throughput,c1000,1000,,,go,http,4,True,,,41491.65803376964,1245854,0,0.0,23991.211,83548,1.8443777945320028,22496.290161798355,40585.94894738312,41120,41308,5,0.827988691578847,0.009185235584283042,7.825965,23446,27302,31429,34615,43795,53657,72256
20260925T083500Z-native-vm,http.users,primary,throughput,c1000,1000,,,rust,http-axum,0,True,,,69177.57110146486,2081932,0,0.0,17268.011,89549,1.962027772182643,35258.20178605769,32361.0616597838,32424,32612,3,1.1333252161936924,0.009334889148191364,8.29047,7549,29040,40956,47335,59043,70396,80329
20260925T083500Z-native-vm,http.users,primary,throughput,c1000,1000,,,rust,http-axum,1,True,,,62717.2367554532,1886215,0,0.0,18303.69,86068,1.9556084472967246,32070.44684335888,32566.206956735077,32620,32904,3,1.093322376092924,0.007188231360748913,7.755146,8761,30308,41906,48519,60011,72018,77278
20260925T083500Z-native-vm,http.users,primary,throughput,c1000,1000,,,rust,http-axum,2,True,,,67451.7257390538,2029832,0,0.0,17383.093,89034,1.9761396529883333,34133.07639318547,31999.71912062222,32628,32628,3,1.1173266438242284,0.0066555740432612314,7.838104,7775,29061,40549,46859,58839,71691,81338
20260925T083500Z-native-vm,http.users,primary,throughput,c1000,1000,,,rust,http-axum,3,True,,,63042.86743427084,1893214,0,0.0,18484.925,93743,1.9354554461710731,32572.626540687903,33243.019465639154,33292,33460,3,1.079319290813723,0.007715531700771553,8.112835,8730,31086,43084,49567,60938,72118,83518
20260925T083500Z-native-vm,http.users,primary,throughput,c1000,1000,,,rust,http-axum,4,True,,,72160.93265581387,2172058,0,0.0,16993.516,88007,1.9774758537578947,36491.43554328762,32513.842337640363,32644,32932,3,1.1399839554478168,0.007977397374106698,7.908878,7073,28662,41221,47893,59460,71396,80588
20260925T083500Z-native-vm,http.users,primary,throughput,c10000,10000,,,go,http,0,True,,,43361.286475301764,1303831,0,0.0,227322.123,329105,1.8209982461358893,23811.822206481134,319354.64446419064,319696,319872,5,0.9756614396580698,0.008528057308545113,7.982344,225574,248920,270634,278885,296632,322406,326816
20260925T083500Z-native-vm,http.users,primary,throughput,c10000,10000,,,go,http,1,True,,,41686.37890011168,1255014,0,0.0,236220.342,356346,1.8149913988767603,22967.810715747764,319359.4580327166,319520,319636,5,0.9649818255966288,0.010703363914373088,8.266301,234995,257325,284106,294501,320348,345764,353448
20260925T083500Z-native-vm,http.users,primary,throughput,c10000,10000,,,go,http,2,True,,,42005.15731567075,1264264,0,0.0,234557.139,333148,1.8089828193062727,23220.31854994583,323569.06126442633,323920,324092,5,0.9439941598857304,0.008878265323544477,7.937308,233102,254469,277075,287216,301860,325331,329898
20260925T083500Z-native-vm,http.users,primary,throughput,c10000,10000,,,go,http,3,True,,,42668.539925323355,1281565,0,0.0,231385.803,327697,1.82133429287295,23427.07766075086,315800.9696843426,316192,316644,5,0.9386635081265394,0.007679180887372013,8.031063,229683,248548,274585,286200,301667,319288,324836
20260925T083500Z-native-vm,http.users,primary,throughput,c10000,10000,,,go,http,4,True,,,41050.58011971108,1234812,0,0.0,239856.793,354396,1.8201031797078144,22553.985168193063,321378.7129938826,321556,321756,5,0.9446555442922882,0.008870692596383487,8.000441,238422,257003,283299,292775,306462,320616,343322
