run_id,workload,target,build_track,scenario,lang,round,i,ok,time_s,peak_rss_kb,cpu_s
20260925T083500Z-native-vm,compile.http,http,release,edit,rust,4,0,True,2.43916913882,245424,6.64
20260925T083500Z-native-vm,compile.http,http,release,edit,rust,4,1,True,2.2906947958200004,245504,6.57
20260925T083500Z-native-vm,compile.http,http,release,noop,go,0,0,True,0.1268870045,29344,0.3
20260925T083500Z-native-vm,compile.http,http,release,noop,go,0,1,True,0.1213313485,29532,0.27
20260925T083500Z-native-vm,compile.http,http,release,noop,go,1,0,True,0.1231881947,29320,0.29
20260925T083500Z-native-vm,compile.http,http,release,noop,go,1,1,True,0.1281371537,29148,0.30000000000000004
20260925T083500Z-native-vm,compile.http,http,release,noop,go,2,0,True,0.11829911528,29696,0.28
20260925T083500Z-native-vm,compile.http,http,release,noop,go,2,1,True,0.12024130528,28976,0.26
20260925T083500Z-native-vm,compile.http,http,release,noop,go,3,0,True,0.10383039162,29008,0.22999999999999998
20260925T083500Z-native-vm,compile.http,http,release,noop,go,3,1,True,0.11092767862,31932,0.24
20260925T083500Z-native-vm,compile.http,http,release,noop,go,4,0,True,0.11114295662000001,28896,0.25
20260925T083500Z-native-vm,compile.http,http,release,noop,go,4,1,True,0.10738408462000001,29648,0.25
20260925T083500Z-native-vm,compile.http,http,release,noop,rust,0,0,True,0.17436695782,53896,0.16
20260925T083500Z-native-vm,compile.http,http,release,noop,rust,0,1,True,0.12515672982,53896,0.12
20260925T083500Z-native-vm,compile.http,http,release,noop,rust,1,0,True,0.12624018456,54276,0.11
20260925T083500Z-native-vm,compile.http,http,release,noop,rust,1,1,True,0.15613591856,53744,0.14
20260925T083500Z-native-vm,compile.http,http,release,noop,rust,2,0,True,0.12142457094,53808,0.11
20260925T083500Z-native-vm,compile.http,http,release,noop,rust,2,1,True,0.12501287894,53796,0.12
20260925T083500Z-native-vm,compile.http,http,release,noop,rust,3,0,True,0.12412240722,54140,0.11
20260925T083500Z-native-vm,compile.http,http,release,noop,rust,3,1,True,0.13697852422,53944,0.11
20260925T083500Z-native-vm,compile.http,http,release,noop,rust,4,0,True,0.11978611406,53852,0.11
20260925T083500Z-native-vm,compile.http,http,release,noop,rust,4,1,True,0.14085256806000002,53984,0.13
20260925T083500Z-native-vm,compile.http-check,http,check,clean,rust,0,0,True,10.53349408184,331812,25.54
20260925T083500Z-native-vm,compile.http-check,http,check,clean,rust,0,1,True,10.44144522484,330960,25.009999999999998
20260925T083500Z-native-vm,compile.http-check,http,check,clean,rust,1,0,True,10.60983340858,332352,25.63
20260925T083500Z-native-vm,compile.http-check,http,check,clean,rust,1,1,True,10.34863652258,331048,24.89
20260925T083500Z-native-vm,compile.http-check,http,check,clean,rust,2,0,True,10.3402352086,331768,24.990000000000002
20260925T083500Z-native-vm,compile.http-check,http,check,clean,rust,2,1,True,10.8118228206,330992,25.369999999999997
20260925T083500Z-native-vm,compile.http-check,http,check,clean,rust,3,0,True,10.41379326406,330736,24.630000000000003
20260925T083500Z-native-vm,compile.http-check,http,check,clean,rust,3,1,True,11.24819413806,331680,26.580000000000002
20260925T083500Z-native-vm,compile.http-check,http,check,clean,rust,4,0,True,10.93872457234,331648,26.2
20260925T083500Z-native-vm,compile.http-check,http,check,clean,rust,4,1,True,10.79514746334,331976,25.41
20260925T083500Z-native-vm,compile.http-check,http,check,edit,rust,0,0,True,0.30224832344,121944,0.3
